Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	1	0
Feb 16, 2020	0	0	5	0
Feb 17, 2020	0	0	3	0
Feb 18, 2020	0	0	8	0
Feb 19, 2020	0	0	5	0
Feb 20, 2020	0	0	15	0
Feb 21, 2020	0	1	44	0
Feb 22, 2020	0	0	46	0
Feb 23, 2020	0	2	60	0
Feb 24, 2020	0	1	77	0
Feb 25, 2020	0	0	56	0
Feb 26, 2020	0	1	61	0
Feb 27, 2020	1	0	121	0
Feb 28, 2020	2	5	111	0
Feb 29, 2020	7	2	190	0
Mar 01, 2020	10	8	155	0
Mar 02, 2020	18	4	176	0
Mar 03, 2020	23	19	278	0
Mar 04, 2020	38	15	292	0
Mar 05, 2020	81	18	346	0
Mar 06, 2020	127	30	409	0
Mar 07, 2020	185	30	534	0
Mar 08, 2020	261	43	637	0
Mar 09, 2020	317	34	573	0
Mar 10, 2020	377	63	545	0
Mar 11, 2020	498	80	811	0
Mar 12, 2020	602	78	852	0
Mar 13, 2020	790	112	1019	1
Mar 14, 2020	937	93	1172	0
Mar 15, 2020	1109	132	1159	0
Mar 16, 2020	1368	93	1104	0
Mar 17, 2020	1645	175	884	0
Mar 18, 2020	1973	134	845	0
Mar 19, 2020	2352	166	1019	0
Mar 20, 2020	2856	148	1083	0
Mar 21, 2020	3450	164	1026	0
Mar 22, 2020	3989	115	904	0
Mar 23, 2020	4471	101	1224	0
Mar 24, 2020	5202	234	952	6
Mar 25, 2020	5975	147	777	0
Mar 26, 2020	6882	148	969	0
Mar 27, 2020	7961	115	1213	0
Mar 28, 2020	8988	132	1335	0
Mar 29, 2020	9752	94	1316	0
Mar 30, 2020	10461	86	1174	0
Mar 31, 2020	11172	122	964	49
Apr 01, 2020	12025	189	868	0
Apr 02, 2020	12960	181	734	0
Apr 03, 2020	13822	144	1061	60
Apr 04, 2020	14611	142	1235	18
Apr 05, 2020	15734	83	1140	28
Apr 06, 2020	16452	67	1066	29
Apr 07, 2020	17082	165	750	31
Apr 08, 2020	17903	138	729	62
Apr 09, 2020	19001	123	708	34
Apr 10, 2020	20204	112	887	57
Apr 11, 2020	21426	120	806	64
Apr 12, 2020	22514	66	655	48
Apr 13, 2020	23356	43	655	131
Apr 14, 2020	24035	48	400	50
Apr 15, 2020	24588	145	171	106
Apr 16, 2020	25505	84	386	92
Apr 17, 2020	26598	98	514	115
Apr 18, 2020	27655	94	475	59
Apr 19, 2020	28654	69	445	93
Apr 20, 2020	29239	26	335	164
Apr 21, 2020	29792	86	199	216
Apr 22, 2020	29970	36	317	227
Apr 23, 2020	30057	84	232	204
Apr 24, 2020	30003	71	455	182
Apr 25, 2020	29693	63	319	139
Apr 26, 2020	29199	18	289	201
Apr 27, 2020	28435	16	245	189
Apr 28, 2020	27405	54	161	370
Apr 29, 2020	26968	52	196	211
Apr 30, 2020	26623	28	227	255
May 01, 2020	26083	53	270	271
May 02, 2020	25470	27	200	183
May 03, 2020	24822	10	189	150
May 04, 2020	24057	14	125	185
May 05, 2020	23200	21	146	375
May 06, 2020	22432	33	108	207
May 07, 2020	22123	27	198	322
May 08, 2020	21481	13	253	253
May 09, 2020	20602	23	188	261
May 10, 2020	19514	11	176	118
May 11, 2020	18321	8	172	315
May 12, 2020	17345	26	209	279
May 13, 2020	16632	15	133	286
May 14, 2020	16009	32	190	222
May 15, 2020	15501	28	182	257
May 16, 2020	14646	20	176	276
May 17, 2020	13532	5	131	177
May 18, 2020	12531	6	185	275
May 19, 2020	11561	5	103	280
May 20, 2020	11015	10	102	269
May 21, 2020	10553	13	86	279
May 22, 2020	10023	15	209	246
May 23, 2020	9324	6	210	217
May 24, 2020	8693	2	183	82
May 25, 2020	8229	3	239	744
May 26, 2020	7718	15	165	310
May 27, 2020	7491	11	164	230
May 28, 2020	7506	2	184	132
May 29, 2020	7304	9	164	324
May 30, 2020	6936	4	210	255
May 31, 2020	6645	2	179	178
Jun 01, 2020	6304	6	143	277
Jun 02, 2020	6066	5	165	288
Jun 03, 2020	5950	4	139	213
Jun 04, 2020	5840	4	117	183
Jun 05, 2020	5827	3	115	231
Jun 06, 2020	5559	8	107	214
Jun 07, 2020	5478	1	76	143
Jun 08, 2020	5342	0	91	198
Jun 09, 2020	5265	5	65	215
Jun 10, 2020	5297	2	64	285
Jun 11, 2020	5258	3	82	109
Jun 12, 2020	5246	3	110	299
Jun 13, 2020	5157	2	91	122
Jun 14, 2020	5096	0	69	157
Jun 15, 2020	5073	2	73	271
Jun 16, 2020	5088	6	76	267
Jun 17, 2020	5059	2	50	396
Jun 18, 2020	5067	3	62	381
Jun 19, 2020	4971	2	77	483
Jun 20, 2020	4801	6	75	502
Jun 21, 2020	4705	1	61	393
Jun 22, 2020	4589	1	73	497
Jun 23, 2020	4484	4	36	561
Jun 24, 2020	4356	3	37	520
Jun 25, 2020	4333	0	52	564
Jun 26, 2020	4235	0	52	754
Jun 27, 2020	4124	0	42	576
Jun 28, 2020	4019	0	81	349
Jun 29, 2020	3960	0	101	384
Jun 30, 2020	3829	0	71	510
Jul 01, 2020	3787	1	53	418
Jul 02, 2020	3763	0	106	442
Jul 03, 2020	3748	0	99	476
Jul 04, 2020	3605	0	103	619
Jul 05, 2020	3468	0	127	220
Jul 06, 2020	3318	0	144	272
Jul 07, 2020	3117	0	185	640
Jul 08, 2020	3007	3	163	599
Jul 09, 2020	2895	0	168	571
Jul 10, 2020	2753	0	163	587
Jul 11, 2020	2670	0	191	513
Jul 12, 2020	2561	1	137	367
Jul 13, 2020	2453	1	214	241
Jul 14, 2020	2362	4	205	736
Jul 15, 2020	2304	2	223	436
Jul 16, 2020	2264	0	247	577
Jul 17, 2020	2250	0	342	419
Jul 18, 2020	2262	1	338	368
Jul 19, 2020	2299	1	431	247
Jul 20, 2020	2408	0	366	232
Jul 21, 2020	2477	1	372	368
Jul 22, 2020	2583	3	485	402
Jul 23, 2020	2682	0	426	456
Jul 24, 2020	2791	1	601	422
Jul 25, 2020	2817	3	519	334
Jul 26, 2020	2940	0	486	103
Jul 27, 2020	3073	0	577	187
Jul 28, 2020	3225	2	630	147
Jul 29, 2020	3398	2	779	453
Jul 30, 2020	3690	4	654	344
Jul 31, 2020	3965	2	577	387
Aug 01, 2020	4319	2	636	335
Aug 02, 2020	4611	3	655	172
Aug 03, 2020	4921	0	507	175
Aug 04, 2020	5331	3	482	265
Aug 05, 2020	5724	6	489	321
Aug 06, 2020	6287	10	552	399
Aug 07, 2020	6752	4	529	362
Aug 08, 2020	7189	5	535	288
Aug 09, 2020	7724	0	508	186
Aug 10, 2020	8271	2	457	273
Aug 11, 2020	8949	5	574	461
Aug 12, 2020	9530	8	415	350
Aug 13, 2020	10056	3	571	401
Aug 14, 2020	10586	2	510	491
Aug 15, 2020	11141	4	507	277
Aug 16, 2020	11548	0	501	229
Aug 17, 2020	11900	0	508	284
Aug 18, 2020	12242	6	527	456
Aug 19, 2020	12605	5	462	382
Aug 20, 2020	12977	0	734	548
Aug 21, 2020	13343	2	601	632
Aug 22, 2020	13693	4	744	522
Aug 23, 2020	13957	2	654	265
Aug 24, 2020	14391	0	925	336
Aug 25, 2020	14589	1	797	615
Aug 26, 2020	14960	2	964	698
Aug 27, 2020	15248	3	1140	688
Aug 28, 2020	15506	3	823	751
Aug 29, 2020	15669	1	1270	656
