Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	-2	0	2	0
Feb 16, 2020	-2	0	1	0
Feb 17, 2020	-2	0	1	0
Feb 18, 2020	-2	0	0	0
Feb 19, 2020	-2	0	0	0
Feb 20, 2020	-2	0	0	0
Feb 21, 2020	-2	0	0	0
Feb 22, 2020	-2	0	0	0
Feb 23, 2020	-2	0	1	0
Feb 24, 2020	-2	0	0	0
Feb 25, 2020	-2	0	0	0
Feb 26, 2020	-2	0	4	0
Feb 27, 2020	-2	0	1	0
Feb 28, 2020	0	0	3	0
Feb 29, 2020	2	0	11	0
Mar 01, 2020	3	0	18	0
Mar 02, 2020	4	0	10	1
Mar 03, 2020	3	0	30	0
Mar 04, 2020	3	1	11	0
Mar 05, 2020	2	0	26	0
Mar 06, 2020	2	0	47	0
Mar 07, 2020	2	0	40	0
Mar 08, 2020	3	0	50	3
Mar 09, 2020	0	0	67	0
Mar 10, 2020	0	0	53	0
Mar 11, 2020	4	0	39	0
Mar 12, 2020	5	0	72	0
Mar 13, 2020	8	0	114	0
Mar 14, 2020	19	1	136	0
Mar 15, 2020	36	0	135	0
Mar 16, 2020	46	0	150	0
Mar 17, 2020	76	0	104	0
Mar 18, 2020	87	2	125	0
Mar 19, 2020	111	3	168	0
Mar 20, 2020	155	0	136	0
Mar 21, 2020	195	1	184	0
Mar 22, 2020	244	0	209	0
Mar 23, 2020	311	2	261	0
Mar 24, 2020	362	1	306	0
Mar 25, 2020	400	3	357	0
Mar 26, 2020	469	2	409	0
Mar 27, 2020	581	8	268	0
Mar 28, 2020	709	9	416	31
Mar 29, 2020	804	15	387	0
Mar 30, 2020	939	9	456	0
Mar 31, 2020	1034	14	364	0
Apr 01, 2020	1145	25	397	0
Apr 02, 2020	1288	21	463	598
Apr 03, 2020	805	27	465	0
Apr 04, 2020	962	33	597	0
Apr 05, 2020	1138	38	642	0
Apr 06, 2020	1361	33	789	0
Apr 07, 2020	1634	57	528	0
Apr 08, 2020	1934	60	753	0
Apr 09, 2020	2283	50	1077	0
Apr 10, 2020	2501	61	1124	0
Apr 11, 2020	2856	77	1279	1139
Apr 12, 2020	2027	81	1001	71
Apr 13, 2020	2331	84	862	121
Apr 14, 2020	2490	98	880	161
Apr 15, 2020	2628	110	1263	0
Apr 16, 2020	2981	112	1081	0
Apr 17, 2020	3334	105	1471	0
Apr 18, 2020	3826	137	1564	502
Apr 19, 2020	3829	135	1393	0
Apr 20, 2020	4483	179	1428	0
Apr 21, 2020	4832	205	1480	0
Apr 22, 2020	5380	212	1156	0
Apr 23, 2020	6245	213	1661	0
Apr 24, 2020	7156	224	2046	4522
Apr 25, 2020	3689	261	1968	0
Apr 26, 2020	4429	276	2001	1205
Apr 27, 2020	3810	305	1613	732
Apr 28, 2020	3653	276	1347	2337
Apr 29, 2020	2303	313	2062	0
Apr 30, 2020	3071	381	1922	0
May 01, 2020	4161	347	2487	954
May 02, 2020	4424	406	2516	1070
May 03, 2020	4341	349	2180	0
May 04, 2020	5420	357	2142	2491
May 05, 2020	4052	448	2492	872
May 06, 2020	3888	441	2801	971
May 07, 2020	4137	399	2321	0
May 08, 2020	5784	396	3069	2533
May 09, 2020	4823	432	3056	1510
May 10, 2020	4882	408	3437	1276
May 11, 2020	4811	438	2854	0
May 12, 2020	5720	447	2566	2835
May 13, 2020	4500	477	3567	1055
May 14, 2020	4890	487	3575	1485
May 15, 2020	5405	538	3487	1976
May 16, 2020	5407	545	3332	1397
May 17, 2020	5645	524	2979	1481
May 18, 2020	5782	576	3254	2059
May 19, 2020	5639	578	2861	1937
May 20, 2020	5925	575	4017	1551
May 21, 2020	6120	558	4039	1781
May 22, 2020	6850	567	4586	2068
May 23, 2020	7271	542	4487	2194
May 24, 2020	7972	537	3710	2505
May 25, 2020	7784	592	3597	2466
May 26, 2020	7292	614	3096	2329
May 27, 2020	7916	609	4335	2164
May 28, 2020	8718	588	5041	2255
May 29, 2020	9362	612	4945	2972
May 30, 2020	9110	566	5391	2261
May 31, 2020	9262	593	3607	2455
Jun 01, 2020	9468	623	4281	3165
Jun 02, 2020	8541	680	3538	2817
Jun 03, 2020	9061	642	4748	2963
Jun 04, 2020	9495	665	5090	2177
Jun 05, 2020	11239	644	5846	3142
Jun 06, 2020	11940	588	5193	2954
Jun 07, 2020	12108	654	4870	2875
Jun 08, 2020	12176	683	5516	3214
Jun 09, 2020	11375	733	4725	3115
Jun 10, 2020	11862	679	6492	3182
Jun 11, 2020	13042	698	5613	4134
Jun 12, 2020	13155	666	6302	3703
Jun 13, 2020	14177	722	5617	3208
Jun 14, 2020	13854	685	4553	3135
Jun 15, 2020	14315	708	4181	4896
Jun 16, 2020	12249	709	3928	3172
Jun 17, 2020	13116	763	5608	3177
Jun 18, 2020	14266	750	5865	3740
Jun 19, 2020	15622	670	6960	4237
Jun 20, 2020	15908	645	6959	4354
Jun 21, 2020	15779	605	7138	3593
Jun 22, 2020	17097	686	4835	4839
Jun 23, 2020	16297	661	5061	4330
Jun 24, 2020	17798	634	6461	4870
Jun 25, 2020	17907	636	7222	0
Jun 26, 2020	23573	618	7516	0
Jun 27, 2020	28572	664	7114	0
Jun 28, 2020	32461	693	6292	0
Jun 29, 2020	35949	687	4627	0
Jun 30, 2020	39190	746	4837	0
Jul 01, 2020	44052	711	7280	0
Jul 02, 2020	49206	684	6348	0
Jul 03, 2020	55482	687	6614	0
Jul 04, 2020	61754	690	7492	2991
Jul 05, 2020	65211	730	7862	3295
Jul 06, 2020	66021	746	5483	4053
Jul 07, 2020	66283	815	5340	3989
Jul 08, 2020	67940	812	7081	4149
Jul 09, 2020	70201	727	6214	4435
Jul 10, 2020	72555	754	8712	4867
Jul 11, 2020	74048	720	7819	3755
Jul 12, 2020	75865	730	6970	3912
Jul 13, 2020	75850	747	5658	4299
Jul 14, 2020	75641	818	5134	4913
Jul 15, 2020	77190	790	7442	5153
Jul 16, 2020	77595	793	5939	4335
Jul 17, 2020	79081	807	7981	4972
Jul 18, 2020	80794	755	8732	4570
Jul 19, 2020	83331	743	9866	4417
Jul 20, 2020	83654	801	5010	4645
Jul 21, 2020	83548	793	4922	5097
Jul 22, 2020	84739	826	6347	4238
Jul 23, 2020	85889	733	6338	4806
Jul 24, 2020	89062	777	6804	6483
Jul 25, 2020	89621	719	6935	4486
Jul 26, 2020	91386	773	6706	4327
Jul 27, 2020	91944	780	4518	5272
Jul 28, 2020	91026	794	5738	4680
Jul 29, 2020	92994	773	6903	5690
Jul 30, 2020	92470	678	6048	5040
Jul 31, 2020	94733	744	7610	6431
Aug 01, 2020	96290	671	5800	6229
Aug 02, 2020	99256	727	6551	4547
Aug 03, 2020	98992	686	4592	6283
Aug 04, 2020	96945	752	3687	4577
Aug 05, 2020	97963	768	5685	4454
Aug 06, 2020	99079	712	5980	4140
Aug 07, 2020	101031	685	6995	4538
Aug 08, 2020	102743	642	6120	5252
Aug 09, 2020	103555	678	6692	3827
Aug 10, 2020	103568	645	4076	5528
Aug 11, 2020	103133	669	3656	4807
Aug 12, 2020	104560	687	5075	3835
Aug 13, 2020	106086	612	5438	4872
Aug 14, 2020	108212	609	6221	4146
Aug 15, 2020	109257	574	6013	5719
Aug 16, 2020	109515	582	6168	3729
Aug 17, 2020	109796	568	4263	4246
Aug 18, 2020	108669	622	3840	3960
Aug 19, 2020	109772	559	6686	4230
Aug 20, 2020	110963	584	5081	4101
Aug 21, 2020	113273	552	6130	4771
Aug 22, 2020	114070	549	6397	4083
Aug 23, 2020	116130	562	6524	3380
Aug 24, 2020	116264	519	4764	5252
Aug 25, 2020	114149	539	3599	3977
Aug 26, 2020	114708	543	5525	3657
Aug 27, 2020	115946	515	4798	3721
Aug 28, 2020	117931	487	5014	4188
Aug 29, 2020	119269	525	6127	4460
Aug 30, 2020	120452	511	5858	3453
Aug 31, 2020	120751	522	4551	4158
Sep 01, 2020	119911	542	3443	4635
Sep 02, 2020	121420	495	4926	3617
Sep 03, 2020	122389	480	4588	5297
Sep 04, 2020	122742	481	3285	4380
Sep 05, 2020	124278	467	4998	4087
Sep 06, 2020	126248	452	5335	3514
Sep 07, 2020	127046	455	3657	4447
Sep 08, 2020	125743	482	3012	4444
Sep 09, 2020	126342	423	4835	3823
Sep 10, 2020	126894	472	4941	3868
Sep 11, 2020	127568	428	5583	4914
Sep 12, 2020	128353	429	5576	3761
Sep 13, 2020	130021	461	5754	4098
Sep 14, 2020	130013	391	4012	4172
Sep 15, 2020	128893	444	3510	5273
Sep 16, 2020	128102	433	4590	3956
Sep 17, 2020	128301	412	5217	3392
Sep 18, 2020	127782	395	5264	3776
Sep 19, 2020	128609	362	4930	4032
Sep 20, 2020	129550	392	5021	3078
Sep 21, 2020	129737	419	3832	3680
Sep 22, 2020	128650	405	3417	3750
Sep 23, 2020	129330	420	4828	3505
Sep 24, 2020	130346	393	4580	4523
Sep 25, 2020	131013	403	5300	3444
Sep 26, 2020	132742	360	5263	3037
Sep 27, 2020	135099	381	4577	2590
Sep 28, 2020	136140	358	3175	3447
Sep 29, 2020	135845	368	3542	3667
Sep 30, 2020	136400	370	4295	2941
Oct 01, 2020	138306	347	4056	3589
Oct 02, 2020	139634	358	5514	4043
Oct 03, 2020	140163	357	6751	4012
Oct 04, 2020	140815	360	5447	4523
Oct 05, 2020	139764	345	4119	3884
Oct 06, 2020	138952	367	3699	3541
Oct 07, 2020	139872	357	5788	3417
Oct 08, 2020	140678	342	6845	22708
Oct 09, 2020	122928	349	6612	4482
Oct 10, 2020	123360	319	6604	3065
Oct 11, 2020	124553	375	6025	3030
Oct 12, 2020	124323	356	4360	3811
Oct 13, 2020	123698	414	4166	3580
Oct 14, 2020	123999	382	5942	2256
Oct 15, 2020	125417	367	5595	4361
Oct 16, 2020	126203	385	5948	4028
Oct 17, 2020	128541	366	6000	3464
Oct 18, 2020	130158	388	6151	3356
Oct 19, 2020	130533	396	4430	4458
Oct 20, 2020	129378	469	3763	4090
Oct 21, 2020	130607	426	5250	4453
Oct 22, 2020	132573	465	5225	4354
Oct 23, 2020	134366	451	5567	4684
Oct 24, 2020	135835	447	5931	5664
Oct 25, 2020	135749	435	6810	3616
Oct 26, 2020	136058	482	5887	4763
Oct 27, 2020	134979	491	4960	4355
Oct 28, 2020	136075	459	5746	4166
Oct 29, 2020	137045	474	7646	5028
Oct 30, 2020	137491	484	5658	4790
Oct 31, 2020	138217	463	5558	4202
Nov 01, 2020	139703	444	5860	4385
Nov 02, 2020	139304	451	3269	5376
Nov 03, 2020	137240	509	2874	5807
Nov 04, 2020	136174	487	1757	4175
Nov 05, 2020	136737	485	3918	4435
Nov 06, 2020	137384	510	4472	4430
Nov 07, 2020	138375	546	6426	4673
Nov 08, 2020	139966	464	6719	5037
Nov 09, 2020	140352	485	9187	5099
Nov 10, 2020	139728	506	7483	4770
Nov 11, 2020	140198	473	10794	5622
Nov 12, 2020	141749	507	10335	4729
Nov 13, 2020	142171	531	8107	5143
Nov 14, 2020	142055	498	12081	4021
Nov 15, 2020	143396	483	10008	4829
Nov 16, 2020	141353	500	6388	4010
Nov 17, 2020	139717	505	6472	3751
Nov 18, 2020	137218	539	8819	4074
Nov 19, 2020	136523	515	11251	4336
Nov 20, 2020	136144	475	11030	4367
Nov 21, 2020	137728	550	12127	4202
Nov 22, 2020	139695	545	11625	4174
Nov 23, 2020	144163	613	7455	5589
Nov 24, 2020	145444	550	6399	6823
Nov 25, 2020	148865	556	11006	6521
Nov 26, 2020	152123	545	11974	5544
Nov 27, 2020	154141	564	11897	0
Nov 28, 2020	165658	609	12253	9673
Nov 29, 2020	165384	555	12057	5143
Nov 30, 2020	166074	563	8608	5189
Dec 01, 2020	166794	629	5930	6231
Dec 02, 2020	168753	652	11228	6750
Dec 03, 2020	172602	607	10297	6664
Dec 04, 2020	176361	586	11799	9488
Dec 05, 2020	178414	581	12248	6744
Dec 06, 2020	182714	634	12129	6723
Dec 07, 2020	182812	631	6870	7369
Dec 08, 2020	181211	666	5370	7495
Dec 09, 2020	184056	617	12511	8118
Dec 10, 2020	187295	678	11653	6962
Dec 11, 2020	191552	657	12485	7912
Dec 12, 2020	195236	687	9679	7923
Dec 13, 2020	198683	712	4974	6716
Dec 14, 2020	199863	697	6217	9073
Dec 15, 2020	196023	731	5996	10335
Dec 16, 2020	196185	742	12099	7584
Dec 17, 2020	198156	727	12406	8089
Dec 18, 2020	201139	731	12159	8635
Dec 19, 2020	204021	749	11091	8718
Dec 20, 2020	206683	781	6359	6887
Dec 21, 2020	205885	763	5211	9326
Dec 22, 2020	201166	875	6464	8974
Dec 23, 2020	203828	789	11271	8946
Dec 24, 2020	205746	812	13345	10008
Dec 25, 2020	207411	825	13734	8660
Dec 26, 2020	207605	823	14362	7948
Dec 27, 2020	203808	861	16105	6902
Dec 28, 2020	202262	894	10003	9773
Dec 29, 2020	197591	951	7594	9890
Dec 30, 2020	198849	944	14395	8342
Dec 31, 2020	201969	924	15873	8024
Jan 01, 2021	205180	867	16468	8973
Jan 02, 2021	206431	963	21366	7137
Jan 03, 2021	204690	971	20523	7526
Jan 04, 2021	201404	994	11170	7403
Jan 05, 2021	199471	1072	8074	7303
Jan 06, 2021	202367	1020	18894	6831
Jan 07, 2021	207861	1121	20548	7503
Jan 08, 2021	212971	1028	22339	7406
Jan 09, 2021	218899	1151	21007	8377
Jan 10, 2021	225476	1106	20057	7168
Jan 11, 2021	227205	1160	10872	9951
Jan 12, 2021	223688	1246	8521	7981
Jan 13, 2021	228856	1189	17165	8304
Jan 14, 2021	235236	1184	17944	8963
Jan 15, 2021	241557	1211	18670	14189
Jan 16, 2021	247523	1245	16374	12593
Jan 17, 2021	254208	1217	15337	10705
Jan 18, 2021	253456	1345	7030	14213
Jan 19, 2021	245972	1343	5448	14461
Jan 20, 2021	249062	1367	4384	12998
Jan 21, 2021	255245	1417	12153	13198
Jan 22, 2021	262969	1341	13575	13962
Jan 23, 2021	268673	1320	13051	14198
Jan 24, 2021	273212	1281	13209	14310
Jan 25, 2021	268493	1357	6065	15428
Jan 26, 2021	260229	1371	3868	12784
