Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	1	0	0	0
Feb 16, 2020	1	0	0	0
Feb 17, 2020	1	0	0	0
Feb 18, 2020	1	0	0	0
Feb 19, 2020	1	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	1	0
Mar 01, 2020	1	0	0	0
Mar 02, 2020	1	0	0	0
Mar 03, 2020	1	1	0	0
Mar 04, 2020	1	0	1	0
Mar 05, 2020	2	0	12	0
Mar 06, 2020	14	0	33	0
Mar 07, 2020	47	1	7	0
Mar 08, 2020	53	0	4	0
Mar 09, 2020	57	0	0	0
Mar 10, 2020	32	0	8	0
Mar 11, 2020	39	2	13	0
Mar 12, 2020	51	2	13	0
Mar 13, 2020	64	0	17	0
Mar 14, 2020	81	1	16	0
Mar 15, 2020	92	1	40	0
Mar 16, 2020	130	2	30	0
Mar 17, 2020	164	4	14	0
Mar 18, 2020	176	5	46	0
Mar 19, 2020	207	1	29	6
Mar 20, 2020	235	1	9	2
Mar 21, 2020	242	3	33	0
Mar 22, 2020	257	6	39	3
Mar 23, 2020	279	6	36	6
Mar 24, 2020	302	4	54	5
Mar 25, 2020	340	1	39	0
Mar 26, 2020	369	5	41	21
Mar 27, 2020	390	6	40	18
Mar 28, 2020	419	6	33	14
Mar 29, 2020	437	8	47	81
Mar 30, 2020	465	5	54	0
Mar 31, 2020	507	7	69	78
Apr 01, 2020	548	7	86	101
Apr 02, 2020	606	9	120	92
Apr 03, 2020	703	9	85	101
Apr 04, 2020	758	15	103	90
Apr 05, 2020	848	17	149	110
Apr 06, 2020	978	11	128	170
Apr 07, 2020	1080	13	110	217
Apr 08, 2020	1152	5	139	159
Apr 09, 2020	1233	14	95	297
Apr 10, 2020	1275	5	145	293
Apr 11, 2020	1367	13	126	195
Apr 12, 2020	1317	9	125	308
Apr 13, 2020	1437	19	160	279
Apr 14, 2020	1583	15	155	291
Apr 15, 2020	1733	11	168	362
Apr 16, 2020	1881	14	171	322
Apr 17, 2020	1993	12	188	414
Apr 18, 2020	2107	11	112	303
Apr 19, 2020	2173	7	189	338
Apr 20, 2020	2262	13	157	293
Apr 21, 2020	2356	10	169	417
Apr 22, 2020	2448	20	232	418
Apr 23, 2020	2600	22	201	523
Apr 24, 2020	2723	21	227	419
Apr 25, 2020	2898	12	215	278
Apr 26, 2020	3041	14	248	303
Apr 27, 2020	3209	9	260	383
Apr 28, 2020	3379	14	226	347
Apr 29, 2020	3553	7	269	523
Apr 30, 2020	3764	16	358	438
May 01, 2020	4029	17	298	554
May 02, 2020	4256	13	272	469
May 03, 2020	4474	21	348	374
May 04, 2020	4745	11	388	295
May 05, 2020	5019	11	387	479
May 06, 2020	5304	8	393	475
May 07, 2020	5612	11	495	496
May 08, 2020	6028	12	488	507
May 09, 2020	6448	15	436	445
May 10, 2020	6800	21	346	493
May 11, 2020	7041	20	347	520
May 12, 2020	7223	18	338	740
May 13, 2020	7389	15	398	790
May 14, 2020	7632	14	399	959
May 15, 2020	7837	21	491	1400
May 16, 2020	8157	16	510	1199
May 17, 2020	8427	11	535	952
May 18, 2020	8679	28	720	1342
May 19, 2020	9083	29	745	997
May 20, 2020	9555	19	774	1488
May 21, 2020	10090	14	783	1350
May 22, 2020	10705	19	727	1204
May 23, 2020	11150	29	752	1602
May 24, 2020	11694	34	702	1154
May 25, 2020	12284	34	789	1613
May 26, 2020	12932	46	910	2625
May 27, 2020	13645	46	1127	2610
May 28, 2020	14589	47	1289	2448
May 29, 2020	15692	36	1367	1833
May 30, 2020	16843	38	1536	2296
May 31, 2020	17989	40	1399	2219
Jun 01, 2020	18932	32	1152	0
Jun 02, 2020	19657	39	1079	41227
Jun 03, 2020	20177	34	1152	4575
Jun 04, 2020	20885	35	1348	4883
Jun 05, 2020	21791	36	1497	0
Jun 06, 2020	22876	35	1467	0
Jun 07, 2020	23881	45	1365	0
Jun 08, 2020	24798	62	1385	0
Jun 09, 2020	25737	91	1455	0
Jun 10, 2020	26653	97	1442	30813
Jun 11, 2020	27658	94	1577	4914
Jun 12, 2020	28773	84	1677	5938
Jun 13, 2020	29967	88	1618	6408
Jun 14, 2020	31092	79	1691	5088
Jun 15, 2020	32288	89	1567	7440
Jun 16, 2020	33360	87	1363	0
Jun 17, 2020	34228	85	1218	30209
Jun 18, 2020	34971	87	1774	5050
Jun 19, 2020	36266	85	1547	5118
Jun 20, 2020	37325	83	1475	3960
Jun 21, 2020	38304	87	1576	4828
Jun 22, 2020	39398	88	1332	5173
Jun 23, 2020	40241	81	1420	4523
Jun 24, 2020	41176	83	1569	4234
Jun 25, 2020	42259	81	1625	4104
Jun 26, 2020	43398	81	1168	4624
Jun 27, 2020	44075	86	1265	4155
Jun 28, 2020	44860	81	1566	3944
Jun 29, 2020	45931	79	1557	5075
Jun 30, 2020	46898	63	1503	4214
Jul 01, 2020	47899	79	1485	3804
Jul 02, 2020	48891	67	1412	4096
Jul 03, 2020	49820	75	1324	4102
Jul 04, 2020	50652	53	1218	3587
Jul 05, 2020	51184	85	969	3339
Jul 06, 2020	51562	67	1057	3874
Jul 07, 2020	52072	89	1025	3458
Jul 08, 2020	52499	77	950	3219
Jul 09, 2020	52884	73	981	3131
Jul 10, 2020	53259	59	923	3061
Jul 11, 2020	53513	53	912	2788
Jul 12, 2020	53793	68	931	2654
Jul 13, 2020	54091	63	929	2664
Jul 14, 2020	54378	51	913	2865
Jul 15, 2020	54641	50	928	3216
Jul 16, 2020	54960	47	703	1513
Jul 17, 2020	54984	41	698	2635
Jul 18, 2020	55053	40	603	2345
Jul 19, 2020	55093	38	627	2198
Jul 20, 2020	55126	40	676	2824
Jul 21, 2020	55206	48	667	2425
Jul 22, 2020	55230	46	668	2190
Jul 23, 2020	54867	39	659	2265
Jul 24, 2020	54584	37	511	2473
Jul 25, 2020	54122	46	479	1926
Jul 26, 2020	53625	31	420	1859
Jul 27, 2020	52992	29	465	2378
Jul 28, 2020	52297	31	409	2225
Jul 29, 2020	51603	23	401	2071
Jul 30, 2020	50747	24	321	1699
Jul 31, 2020	49635	18	238	2180
Aug 01, 2020	48345	21	167	1904
Aug 02, 2020	47163	20	157	1565
Aug 03, 2020	45686	21	112	2354
Aug 04, 2020	44271	17	123	1961
Aug 05, 2020	42763	26	131	1877
Aug 06, 2020	41157	24	141	2000
Aug 07, 2020	39623	26	167	1965
Aug 08, 2020	38650	22	178	1693
Aug 09, 2020	37805	17	174	1516
Aug 10, 2020	36852	17	168	2199
Aug 11, 2020	35887	19	129	1878
Aug 12, 2020	34977	13	145	1712
Aug 13, 2020	34111	11	112	1906
Aug 14, 2020	33238	13	116	1914
Aug 15, 2020	32360	15	139	1877
Aug 16, 2020	31572	19	115	1557
Aug 17, 2020	30766	12	163	2055
Aug 18, 2020	30007	19	161	1845
Aug 19, 2020	29164	18	111	1778
Aug 20, 2020	28351	18	123	1834
Aug 21, 2020	27599	19	89	1833
Aug 22, 2020	26876	25	103	1449
Aug 23, 2020	26151	20	138	1285
Aug 24, 2020	25381	14	141	1999
Aug 25, 2020	24604	23	206	1805
Aug 26, 2020	23795	22	237	1654
Aug 27, 2020	23108	19	223	1530
Aug 28, 2020	22504	21	212	1731
Aug 29, 2020	21819	18	230	1401
Aug 30, 2020	21208	16	212	1295
Aug 31, 2020	20589	16	176	1911
Sep 01, 2020	19847	19	165	1893
Sep 02, 2020	19193	11	145	1726
Sep 03, 2020	18531	19	157	1839
Sep 04, 2020	17782	17	130	1719
Sep 05, 2020	16993	13	151	1432
Sep 06, 2020	16225	17	178	1318
Sep 07, 2020	15492	20	187	2013
Sep 08, 2020	14782	21	175	1825
Sep 09, 2020	14137	13	154	1801
Sep 10, 2020	13370	18	151	1708
Sep 11, 2020	12628	17	148	1855
Sep 12, 2020	11968	19	153	1407
Sep 13, 2020	11200	18	168	1399
Sep 14, 2020	10547	17	163	2219
Sep 15, 2020	9916	20	160	1909
Sep 16, 2020	9255	17	141	2075
Sep 17, 2020	8768	19	131	2053
Sep 18, 2020	8081	16	128	2120
Sep 19, 2020	7484	13	115	1645
Sep 20, 2020	6713	18	126	1365
Sep 21, 2020	6022	16	113	2065
Sep 22, 2020	5305	14	121	1989
Sep 23, 2020	4710	18	138	1711
Sep 24, 2020	4034	13	112	1704
Sep 25, 2020	3241	16	111	4390
Sep 26, 2020	2493	16	104	1429
Sep 27, 2020	1877	10	115	2113
Sep 28, 2020	1468	14	124	1764
Sep 29, 2020	1071	11	119	1842
Sep 30, 2020	774	9	119	1700
Oct 01, 2020	516	11	149	1839
Oct 02, 2020	367	9	109	1402
Oct 03, 2020	331	7	108	1165
Oct 04, 2020	347	12	98	1981
Oct 05, 2020	393	11	121	1580
Oct 06, 2020	452	12	133	1436
Oct 07, 2020	533	10	121	1617
Oct 08, 2020	615	9	106	1665
Oct 09, 2020	641	6	125	1275
Oct 10, 2020	704	11	129	1093
Oct 11, 2020	776	11	132	1638
Oct 12, 2020	843	10	139	1619
Oct 13, 2020	875	11	128	1558
Oct 14, 2020	918	10	118	1582
Oct 15, 2020	934	12	126	1531
Oct 16, 2020	971	13	138	1337
Oct 17, 2020	1031	11	127	1033
Oct 18, 2020	1057	10	123	1265
Oct 19, 2020	1103	11	158	1767
Oct 20, 2020	1150	12	178	1613
Oct 21, 2020	1212	12	177	1517
Oct 22, 2020	1270	11	170	1425
Oct 23, 2020	1341	12	167	1246
Oct 24, 2020	1397	13	143	1123
Oct 25, 2020	1438	11	167	1698
Oct 26, 2020	1515	8	170	1481
Oct 27, 2020	1571	12	153	1395
Oct 28, 2020	1622	13	179	1295
Oct 29, 2020	1689	14	167	1350
Oct 30, 2020	1765	13	179	1118
Oct 31, 2020	1837	11	181	1031
Nov 01, 2020	1903	14	189	1591
Nov 02, 2020	1982	12	197	1508
Nov 03, 2020	2052	13	207	1503
Nov 04, 2020	2137	12	201	1218
Nov 05, 2020	2195	14	224	1340
Nov 06, 2020	2305	11	208	1054
Nov 07, 2020	2368	12	239	1079
Nov 08, 2020	2491	12	221	1727
Nov 09, 2020	2603	13	232	1473
Nov 10, 2020	2720	11	227	1313
Nov 11, 2020	2814	12	214	1343
Nov 12, 2020	2918	16	224	1353
Nov 13, 2020	3043	14	228	1170
Nov 14, 2020	3159	13	220	1052
Nov 15, 2020	3268	13	242	1632
Nov 16, 2020	3365	14	275	1529
Nov 17, 2020	3515	13	329	1366
Nov 18, 2020	3697	12	342	1319
Nov 19, 2020	3883	13	363	1332
Nov 20, 2020	4112	12	358	1150
Nov 21, 2020	4358	11	351	1027
Nov 22, 2020	4598	12	354	1557
Nov 23, 2020	4840	13	361	1393
Nov 24, 2020	5066	15	365	1401
Nov 25, 2020	5321	14	368	1377
Nov 26, 2020	5611	16	357	1486
Nov 27, 2020	5834	28	351	1140
Nov 28, 2020	6072	19	358	1070
Nov 29, 2020	6309	19	370	1683
Nov 30, 2020	6543	18	392	1501
Dec 01, 2020	6821	21	421	1446
Dec 02, 2020	7081	19	432	1400
Dec 03, 2020	7361	23	427	1410
Dec 04, 2020	7660	19	431	1190
Dec 05, 2020	7940	22	418	1036
Dec 06, 2020	8160	23	415	1787
Dec 07, 2020	8354	21	434	1766
Dec 08, 2020	8555	22	421	1683
Dec 09, 2020	8796	23	445	1677
Dec 10, 2020	9012	23	464	1665
Dec 11, 2020	9235	24	478	1420
Dec 12, 2020	9481	25	486	1227
Dec 13, 2020	9780	26	511	2044
Dec 14, 2020	10011	28	523	1589
Dec 15, 2020	10193	29	544	1893
Dec 16, 2020	10444	32	548	1884
Dec 17, 2020	10767	37	579	1912
Dec 18, 2020	11082	42	611	1664
Dec 19, 2020	11341	51	664	1533
Dec 20, 2020	11640	49	718	2334
Dec 21, 2020	11981	43	788	2222
Dec 22, 2020	12331	53	911	2039
Dec 23, 2020	12802	61	1021	1980
Dec 24, 2020	13259	54	1133	2054
Dec 25, 2020	13832	56	1189	1805
Dec 26, 2020	14501	55	1226	1783
Dec 27, 2020	15121	56	1359	2672
Dec 28, 2020	15998	54	1333	2400
Dec 29, 2020	16673	64	1411	2425
Dec 30, 2020	17617	58	1418	2144
Dec 31, 2020	18326	55	1409	1915
Jan 01, 2021	18958	57	1407	2535
Jan 02, 2021	19657	54	1309	2474
